ID,NAME,STATE,STATUS,POSTALCODE,IDSAP,DISTRIBUTOR,CITY,BILLINGLATITUDE,BILLINGLONGITUDE,TYPE,litDem
0010900001t9mRcAAI,LOCAS BAR,ALICANTE,En Desarrollo Activo,3503,8100411893.0,D-0042,BENIDORM,38.535522,-0.127229,Account,653
0010900001q2XAcAAM,BOURBON STREET,MALAGA,En Desarrollo Activo,29018,8100410229.0,D-0007,MALAGA,36.72688,-4.385279,Account,1216
0010900001zIRorAAG,LORO CHARLI,BARCELONA,En Desarrollo Inactivo,8401,8100415616.0,D-0029,GRANOLLERS,41.595104,2.284374,Account,1379
0010900001qWtXKAA0,LA PEQUEÑA ISLA,HUESCA,En Desarrollo Activo,22700,8100410372.0,D-0156,JACA,42.575781,-0.547939,Account,986
0010900001qWz1lAAC,CATERING LOS ANGELES,ALMERIA,En Desarrollo Activo,4008,8100410321.0,D-0017,ALMERIA,36.866659,-2.49175,Account,1450
0010900001ssF3yAAE,REMOTAL,CACERES,En Desarrollo Activo,10710,8100411313.0,D-0013,ZARZA DE GRANADILLA,40.233125,-6.0456,Account,1441
0010900001mrfqcAAA,BAR BRETONE,BARCELONA,,8013,8100260147.0,,BARCELONA,41.40043,2.179935,Account,1313
0010900001mrfoXAAQ,EL REBOST DE LA LAURA,BARCELONA,,8030,8100271971.0,,BARCELONA,41.438862,2.196656,Account,1364
0010900001tAJqOAAW,EL MIRADOR DE DELICIAS.,MADRID,En Desarrollo Activo,28045,8100411912.0,D-0203,MADRID,40.398429,-3.694282,Account,457
0010900001ssn94AAA,ASADOR DE VILORIA,LEON,En Desarrollo Activo,24231,,,ONZONILLA,42.500131,-5.584916,Account,682
0010900001ssYMGAA2,CHIRINGUITO LUCIA PUNTA CANDOR,CADIZ,En Desarrollo Activo,11520,8100411335.0,D-0223,ROTA,36.635215,-6.391161,Account,1500
0010900001r9ftSAAQ,RTE BON VENT,ALICANTE,En Desarrollo Activo,3590,8100410454.0,D-0357,ALTEA,38.592813,-0.055377,Account,356
0010900001ssWAyAAM,RINCON DE MARIA,BADAJOZ,En Desarrollo Activo,6180,,D-0074,BADAJOZ,38.920005,-6.942281,Account,1324
0010900001qWvS6AAK,ROYO URRIOS. JUSTO,TERUEL,En Desarrollo Activo,44570,8100410330,D-0318,CALANDA,40.940925,-0.234302,Account,511
0010900001qWokaAAC,BARRACUDA ECI,MADRID,En Desarrollo Activo,28001,8100410318,D-0018,MADRID,40.430047,-3.687364,Account,1350
0010900001zGyrAAAS,LA GULA GASTROBAR,CADIZ,En Desarrollo Activo,11540,8100415622,D-0223,SANLUCAR DE BARRAMEDA,36.782237,-6.355651,Account,886
0010900001mrfwrAAA,EUSEBIO 3,BARCELONA,En Desarrollo Activo,8004,8100281598,,BARCELONA,41.37424,2.168958,Account,1334
0010900001qWePAAA0,CASA ANICETO,JAEN,En Desarrollo Activo,23160,8100410323,D-0066,LOS VILLARES,37.687766,-3.818109,Account,1423
0010900001qX2K2AAK,ALEXIS RODRIGUEZ BARRERA,SANTA CRUZ DE TENERIFE,En Desarrollo Activo,38639,,,SAN MIGUEL DE ABONA,28.019431,-16.612689,Account,1480
0010900001qWhfqAAC,FALLA EL CENTENAR DE LA PLOMA,VALENCIA,En Desarrollo Activo,46470,8100410337,D-0049,CATARROJA,39.404156,-0.39758,Account,429
0010900001r825pAAA,Bar La Negri,VALENCIA,En Desarrollo Activo,46020,8100410437,D-0208,VALENCIA,39.487243,-0.364585,Account,1056
0010900001r825rAAA,Xingú,VALENCIA,En Desarrollo Activo,46020,8100410450,D-0208,VALENCIA,39.480907,-0.356022,Account,803
0010900001q2ARYAA2,EVENTOS LONDONER,GIRONA,En Desarrollo Activo,17310,8100410278,D-0212,LLORET DE MAR,41.6985,2.844959,Account,1205
0010900001ssW79AAE,Bar El Rinconcito,VALENCIA,En Desarrollo Inactivo,46340,8100411316,D-16312,REQUENA,39.490687,-1.101452,Account,1261
0010900001q2GlkAAE,SUP. MARCELO,LAS PALMAS,En Desarrollo Activo,35510,8100410251,D-0372,TIAS,28.921718,-13.671523,Account,900
0010900001q2GllAAE,SIMPLY SAN BARTOLOME II,LAS PALMAS,En Desarrollo Activo,35550,8100410313,D-0372,SAN BARTOLOME,28.999548,-13.610749,Account,492
0010900001qWU9QAAW,La chiná Kamikace,VALENCIA,En Desarrollo Activo,46005,8100410314,D-0208,VALENCIA,39.462307,-0.369505,Account,1388
0010900001qWwuDAAS,BAR VALMUEL,TERUEL,En Desarrollo Activo,44661,8100410374,D-0318,ALCAÑIZ,41.12658,-0.214961,Account,308
0010900001qWwuEAAS,QUINTOS MAZALEÓN 2023,TERUEL,En Desarrollo Activo,44621,8100410358,D-0318,MAZALEON,41.04928,0.102135,Account,1460
0010900001mrfkjAAA,JOSEP BALMES BAENA,BARCELONA,,8500,8100218446,,VIC,41.926666,2.279212,Account,963
0010900001t9nUyAAI,FREIDURIA SANTOS,BURGOS,En Desarrollo Activo,9400,8100411327,D-0056,ARANDA DE DUERO,41.671786,-3.685268,Account,1382
0010900001ssyUOAAY,FREIDURIA SANTA MONICA,GRANADA,En Desarrollo Activo,18220,8100411892,D-0071,ALBOLOTE,37.233368,-3.650387,Account,918
0010900001qWm2sAAC,S'HA ACABAT EL BROQUIL,GIRONA,En Desarrollo Inactivo,17530,8100410340,D-0213,CAMPDEVANOL,42.223309,2.169126,Account,325
0010900001zHW6ZAAW,DROLE - ANTIK CELLER,BARCELONA,En Desarrollo Activo,8700,8100415625,D-0021,IGUALADA,41.580053,1.619328,Account,1176
